Type,"Date effective from","Date no longer in force",Name,ABN,City,State,Postcode,"Provider Number","Other relevant info","Registration Groups","Relevant information"
"ER - Banning Order",2026-05-26T07:00:00,2031-05-26T07:00:00,"Suzanne Elizabeth Petersen",,"CALDERWOOD ",NSW,2527,,,,"On 5 May 2026, a banning order was made under subparagraphs 73ZN(2)(a)(i) and 73ZN(2)(a)(iii) of the National Disability Insurance Scheme Act 2013, prohibiting Suzanne Elizabeth Petersen from providing supports and services to persons with disability in the National Disability Insurance Scheme (NDIS). Specifically, the 5-year order prohibits Suzanne Elizabeth Petersen from being engaged in the following NDIS activities: • Provide or be involved or assist in the provision, to any NDIS Participant, of any support or supports under a Participant’s Plan; • Provide or be involved or assist in the provision, to any NDIS Participant, of any service or services under a Participant’s Plan; This order takes effect from 5.00pm AEST on 26 May 2026 and operates across all States and Territories of Australia."
"ER - Banning Order",2026-05-26T07:00:00,2028-05-26T07:00:00,"Rim Tlaiss",,"Guildford West",NSW,2161,,,,"On 5 May 2026, a banning order was made under section 73ZN(2)(b) of the National Disability Insurance Scheme Act 2013 prohibiting Rim Tlaiss from: • providing or personally being involved in the provision, to any NDIS participant, of any supports or services (whether paid or unpaid), under a participant’s plan; or• engaging in any work or providing or performing any supports or services (whether paid or unpaid), for or on behalf of any NDIS Provider.‘NDIS Participant’ means a participant within the meaning of section 9 of the NDIS Act.‘NDIS Provider’ means an NDIS Provider within the meaning of section 9 of the NDIS Act.‘Participant’s Plan’ means a plan within the meaning of section 9 of the NDIS Act.This banning order takes effect on 26 May 2026 at 5.00pm for a period of two years and operates across all States and Territories of Australia."
"ER - Banning Order",2026-05-26T07:00:00,2027-05-26T07:00:00,"Leanne Lawton",,"Kains Flat",NSW,2850,,,,"On 6 May 2026, a banning order was made under section 73ZN (2)(a)(i) of the National Disability Insurance Scheme Act 2013, prohibiting Leanne Lawton from being engaged in the following:1. Provide or be involved or assist in the provision, to any NDIS Participant, of any support or supports under a Participant’s Plan; 2. Provide or be involved or assist in the provision, to any NDIS Participant, of any service or services under a Participant’s Plan;3. Engage in any work or provide or perform any service or services (whether paid or unpaid), for or on behalf of any NDIS Provider, which may occasion any personal contact between you and an NDIS Participant. Note: Personal contact refers to direct interaction between persons, which includes (but is not limited to) bodily contact with another person, or where persons are in the same physical location where bodily contact is possible. Personal contact also includes (but is not limited to) communications, such as physically speaking to another person, speaking over the phone, emailing, writing a letter, or sending text messages. NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act This banning order takes effect on 26 May 2026 at 5.00pm for a period of one (1) year and operates across all States and Territories of Australia."
"ER - Banning Order",2026-05-26T07:00:00,2036-05-26T07:00:00,"Eric Allan Watson",57429659186,"GLADSTONE CENTRAL",QLD,4680,,,,"On 6 May 2026, a banning order was made under subparagraph 73ZN(1)(b)(iii) of the National Disability Insurance Scheme Act 2013 prohibiting Eric Allan Watson from providing supports and services to persons with disability in the National Disability Insurance Scheme (NDIS). Specifically, the order temporarily prohibits Mr Eric Allan Watson from being engaged in the following NDIS activities:a) Provide or be involved or assist in the provision, to any NDIS participant, of any support or supports under a Participant’s Plan; andb) Provide or be involved or assist in the provision, to any NDIS participant, of any service or services under a Participant’s Plan.NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; and Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act.This order takes effect from 5.00pm AEST on 26 May 2026 and operates for 10 years across all States and Territories of Australia."
"ER - Banning Order",2026-05-19T07:00:00,2028-05-19T07:00:00,"Mon Cheri Gifts Pty Ltd T/A Diversity Models",25644635165,Benowa,QLD,4217,,,,"On 27 April 2026, a banning order was made under section 73ZN(1)(a) of the National Disability Insurance Scheme Act 2013 prohibiting Mon Cheri Gifts Pty Ltd T/A Diversity Models from engaging in the following NDIS activities: 1. Engaging in activities that a of a National Disability Insurance Scheme (NDIS) provider would undertake, to the extent that those activities relate to NDIS supports or services in the registered or unregistered market. 2. Engaging in activities that would be undertaken by a consultant for an NDIS provider, to the extent that those activities relate to NDIS supports or services in the registered or unregistered market. 3. Engaging in activities that would be undertaken by an auditor for an NDIS provider, to the extent that those activities relate to NDIS supports or services in the registered or unregistered market. 4. Engaging in activities in a non-service and non-support delivery role for an NDIS provider, to the extent that those activities have a direct effect on the provision of NDIS funded supports of services to people with disability in the NDIS in the registered or unregistered market. 5. Engaging in the provision or management of NDIS supports, services or funding to people with disability in the NDIS. 6. Providing or being involved or assisting in the provision, to any NDIS participant, of any support or supports under an NDIS participant’s plan. 7. Engaging in any work or providing or performing any service or services (whether paid or unpaid), for or on behalf of any NDIS provider, which may occasion any personal contact between Mon Cheri Gifts Pty Ltd and an NDIS participant. Where: NDIS Participant means a participant within the meaning of section 9 of the NDIS Act NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act This Order takes effect on 19 May 2026 at 5.00pm AEST and operates for a period of 2 years across all States and Territories of Australia"
"ER - Banning Order",2026-05-15T07:00:00,2031-05-15T07:00:00,"Chidiebele Emmanuel OLIAKU",61277232120,Bardia,NSW,2565,,,,"On 12 May 2026 the banning order made on 11 December 2025 was varied under section 100 of the NDIS Act to prohibit Mr Chidiebele Emmanual Oliaku from engaging in the provision of NDIS supports and services to people with disability in the National Disability Insurance Scheme (NDIS), including:Providing or being involved or assisting in the provision, to any NDIS Participant, of any support or supports under a Participant’s Plan;Providing or being involved or assisting in the provision, to any NDIS Participant, of any service or services under a Participant’s Plan;Engaging in any work or providing or performing any service or services (whether paid or unpaid), for or on behalf of any NDIS Provider, which may occasion any personal contact between you and a NDIS Participant.NDIS Participant means a participant within the meaning of section 9 of the NDIS Act.NDIS Provider means a NDIS Provider within the meaning of section 9 of the NDIS Act.Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act.This banning order takes effect on 15 May 2026 at 5.00pm AEST replacing the banning order issued on 11 December 2025. the variation is for a period of five (5) years and operates across all States and Territories of Australia."
"ER - Banning Order",2026-05-15T07:00:00,,"Vital Disability Group Pty Ltd",21641590730,"BREAKFAST POINT",NSW,2137,,,,"On 4 May 2026 a banning order was made under sections 73ZN(1)(a) of the National Disability Insurance Scheme Act 2013 prohibiting Vital Disability Group Pty Ltd from engaging in the following NDIS activities: a) engaging in activities that would be undertaken by a consultant for an NDIS provider, to the extent that those activities relate to NDIS supports or services; b) engaging in activities that would be undertaken by an auditor for an NDIS provider, to the extent that those activities relate to NDIS supports or services; c) engaging in activities in a non-service and non-support delivery role for an NDIS provider, the extent that those activities have a direct effect on the provision of NDIS funded supports or service to people with disability in the NDIS; d) providing or being involved or assisting in the provision, to any NDIS participant, of any support or supports under a participant’s plan; e) engaging in any work or providing or performing any service or services (whether paid or unpaid), for or on behalf of any NDIS provider, which may occasion any personal contact between you and an NDIS participant. NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. This banning order takes effect permanent on 5.00pm AEST on 15 May 2026 and operates across all States and Territories of Australia."
"ER - Banning Order",2026-05-15T07:00:00,,"Touch & Care Pty Ltd",69659753278,Wallsend,NSW,2287,,,,"On 4 May 2026, a banning order was made under section 73ZN(1)(a) of the National Disability Insurance Scheme Act 2013 permanently prohibiting Touch & Care Pty Ltd from being engaged in the following NDIS activities: a) engaging in any activities that would be delivering support and services to NDIS funded participants; b) engaging in activities that an NDIS provider would undertake, to the extent that those activities relate to NDIS supports or services; c) engaging in activities that would be undertaken as a consultant, to the extent that those activities relate to NDIS supports or services; d) engaging in activities that would be undertaken as an auditor for an NDIS provider, to the extent that those activities relate to NDIS supports or services; and e) engaging in activities in a non-service and non-support delivery role as a provider, to the extent that those activities have a direct effect on the provision of NDIS funded supports or services to people with disability in the NDIS.NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. This banning order takes permanent effect from 5.00pm AEST on 15 May 2026 and operates across all States and Territories of Australia."
"ER - Banning Order",2026-05-15T07:00:00,,"Michael Leslie Kelly",,"South Bathurst",NSW,2795,,,,"On 4 May 2026 a permanent banning order was made under section 73ZN(2)(a)(iii) of the National Disability Insurance Scheme Act 2013 permanently prohibiting and restricting Michael Leslie Kelly from providing or managing NDIS supports, services or funding to people with disability in the NDIS, including but not limited to: engaging in any activities that would be delivering support and services to NDIS funded participants; engaging in activities that a member of the key personnel of an National Disability Insurance Scheme (NDIS) provider would undertake, to the extent that those activities relate to NDIS supports or services; engaging in activities that an NDIS provider would undertake, to the extent that those activities relate to NDIS supports or services; engaging in activities that would be undertaken as a consultant, to the extent that those activities relate to NDIS supports or services; engaging in activities that would be undertaken as an auditor for an NDIS provider, to the extent that those activities relate to NDIS supports or services; and engaging in activities in a non-service and non-support delivery role as a provider, to the extent that those activities have a direct effect on the provision of NDIS funded supports or services to people with disability in the NDIS.NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. This banning order takes permanent effect on 5.00pm AEST on 15 May 2026 and operates across all States and Territories of Australia."
"ER - Banning Order",2026-05-15T07:00:00,,"Aboriginal Support Services Pty Ltd",18677564091,"South Bathurst",NSW,2795,,,,"On 4 May 2026 a permanent banning order was made under section 73ZN(1)(b)(iii) of the National Disability Insurance Scheme Act 2013 permanently prohibiting and restricting Aboriginal Support Services Pty Ltd from providing or managing NDIS supports, services or funding to people with disability in the NDIS, including but not limited to: engaging in any activities that would be delivering support and services to NDIS funded participants; engaging in activities that an NDIS provider would undertake, to the extent that those activities relate to NDIS supports or services; engaging in activities that would be undertaken as a consultant, to the extent that those activities relate to NDIS supports or services; engaging in activities that would be undertaken as an auditor for an NDIS provider, to the extent that those activities relate to NDIS supports or services; and engaging in activities in a non-service and non-support delivery role as a provider, to the extent that those activities have a direct effect on the provision of NDIS funded supports or services to people with disability in the NDIS.NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. This banning order takes permanent effect on 5.00pm AEST on 15 May 2026 and operates across all States and Territories of Australia."
